,ID,PQ #,PO / SO #,ASN/DN #,Country,Managed By,Fulfill Via,Vendor INCO Term,Shipment Mode,PQ First Sent to Client Date,PO Sent to Vendor Date,Scheduled Delivery Date,Delivered to Client Date,Delivery Recorded Date,Product Group,Sub Classification,Vendor,Item Description,Molecule/Test Type,Brand,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Pack Price,Unit Price,Manufacturing Site,First Line Designation,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD),Year
2691,13038,FPQ-7175,SCMS-103410,ASN-12172,South Africa,PMO - US,Direct Drop,DDP,Ocean,3/10/2011,2011-03-24,14-Sep-11,27-Oct-11,27-Oct-11,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,30,54768,133633.92,2.44,0.08,"Aurobindo Unit III, India",Yes,3237,10923.46,220.5,2011
2694,13093,FPQ-12187,SCMS-188540,ASN-21695,Vietnam,PMO - US,Direct Drop,EXW,Air,5/3/2013,2013-05-10,11-Oct-13,9-Oct-13,9-Oct-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,11500,132135.0,11.49,0.38,Mylan (formerly Matrix) Nashik,Yes,1295,2021.05,163.45,2013
2695,13106,FPQ-13976,SCMS-236120,ASN-27809,Vietnam,PMO - US,Direct Drop,EXW,Air,4/8/2014,2014-04-30,16-Sep-14,16-Sep-14,1-Oct-14,ARV,Adult,HETERO LABS LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,16000,56800.0,3.55,0.12,Hetero Unit III Hyderabad IN,Yes,1948,3138.25,58.39,2014
2697,13138,FPQ-10765,SCMS-162440,ASN-17530,Nigeria,PMO - US,Direct Drop,EXW,Air,10/5/2012,2012-10-16,9-Jan-13,10-Jan-13,10-Jan-13,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,2744,244216.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1186,25193.28,342.39,2012
2700,13161,FPQ-5303,SCMS-68910,ASN-7440,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/2010,2010-03-19,24-Aug-10,24-Aug-10,24-Aug-10,ARV,Adult,Aurobindo Pharma Limited,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,56877,265615.59,4.67,0.16,"Aurobindo Unit III, India",Yes,4815,5886.9,572.67,2010
2701,13205,FPQ-3885,SCMS-48630,ASN-4783,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,6/19/2009,2009-07-09,15-Sep-09,15-Sep-09,15-Sep-09,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests","HIV 1/2, Determine HIV Kit, without Lancets",Determine,100,3500,245000.0,70.0,0.7,Inverness Japan,Yes,893,12858.12,480.2,2009
2703,13275,FPQ-15692,SCMS-274370,ASN-32259,Vietnam,PMO - US,Direct Drop,EXW,Air,1/28/2015,2015-02-17,13-Jul-15,13-Jul-15,14-Jul-15,ARV,Adult,HETERO LABS LIMITED,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,17760,177600.0,10.0,0.33,Hetero Unit III Hyderabad IN,Yes,2516,3816.3,209.04,2015
2704,13277,FPQ-4098,SCMS-51780,ASN-5008,Vietnam,PMO - US,Direct Drop,EXW,Air,8/12/2009,2009-08-14,26-Oct-09,26-Oct-09,26-Oct-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,1680,13860.0,8.25,0.28,Mylan (formerly Matrix) Nashik,Yes,110,791.43,27.17,2009
2705,13302,FPQ-6185,SCMS-84420,ASN-8578,Rwanda,PMO - US,Direct Drop,CIP,Air,9/3/2010,2010-09-29,2-Nov-10,2-Nov-10,2-Nov-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,138422,1211192.5,8.75,0.29,Mylan (formerly Matrix) Nashik,Yes,13147,4781.8,2611.33,2010
2706,13311,FPQ-8929,SCMS-131880,ASN-14110,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,12/8/2011,2012-01-17,29-Mar-12,29-Mar-12,29-Mar-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,2000,160000.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,957,18919.56,224.32,2012
2707,13379,FPQ-10790,SCMS-163880,ASN-17939,Malawi,PMO - US,Direct Drop,EXW,Ocean,10/17/2012,2012-10-31,21-Jun-13,21-Jun-13,21-Jun-13,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,243800,2801262.0,11.49,0.38,Mylan (formerly Matrix) Nashik,Yes,27549,24875.46,3465.16,2012
2710,13487,FPQ-14895,SCMS-261510,ASN-30067,Haiti,PMO - US,Direct Drop,EXW,Ocean,9/24/2014,2014-11-14,13-Mar-15,13-Mar-15,18-Mar-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,25000,256000.0,10.24,0.34,Mylan (formerly Matrix) Nashik,Yes,3034,7658.27,263.17,2014
2711,13544,FPQ-14372,SCMS-246550,ASN-29074,Côte d'Ivoire,PMO - US,Direct Drop,FCA,Air,6/3/2014,2014-07-31,3-Nov-14,3-Nov-14,7-Nov-14,ARV,Pediatric,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",Lopinavir/Ritonavir,Kaletra,300,500,15410.0,30.82,0.1,ABBVIE (Abbott) Logis. UK,Yes,505,6523.85,15.84,2014
2712,13547,FPQ-14654,SCMS-253260,ASN-28279,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,8/11/2014,2014-08-27,4-Nov-14,4-Nov-14,20-Nov-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,77,2464.0,32.0,1.6,"Trinity Biotech, Plc",Yes,509,8021.11,2.53,2014
2713,13555,FPQ-14516,SCMS-249040,ASN-29768,Vietnam,PMO - US,Direct Drop,EXW,Air,7/9/2014,2014-08-08,5-Feb-15,5-Feb-15,5-Feb-15,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,60,13000,105300.0,8.1,0.13,Mylan (formerly Matrix) Nashik,Yes,2672,2504.64,108.25,2014
2715,13571,FPQ-14470,SCMS-245240,ASN-29503,South Sudan,PMO - US,Direct Drop,EXW,Air,6/17/2014,2014-07-01,9-Jan-15,9-Jan-15,19-Jan-15,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,18,576.0,32.0,1.6,"Trinity Biotech, Plc",Yes,177,1692.35,0.59,2014
2716,13581,FPQ-7936,SCMS-113480,ASN-11824,Swaziland,PMO - US,Direct Drop,EXW,Air,6/21/2011,2011-07-13,28-Sep-11,28-Sep-11,28-Sep-11,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,377,30160.0,80.0,0.8,Inverness Japan,Yes,172,4504.46,49.76,2011
2717,13608,FPQ-9365,SCMS-143480,ASN-14973,Uganda,PMO - US,Direct Drop,DDP,Air,3/15/2012,2012-04-17,21-May-12,21-May-12,21-May-12,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,120,121,9075.0,75.0,0.62,"Janssen-Cilag, Latina, IT",Yes,43,199.0,12.72,2012
2719,13652,FPQ-3896,SCMS-48290,ASN-4872,Vietnam,PMO - US,Direct Drop,EXW,Air,6/25/2009,2009-06-29,30-Sep-09,30-Sep-09,30-Sep-09,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,21504,139776.0,6.5,0.22,Mylan (formerly Matrix) Nashik,Yes,1849,4191.83,273.96,2009
2720,13696,FPQ-7858,SCMS-117380,ASN-12145,Dominican Republic,PMO - US,Direct Drop,EXW,Air,6/21/2011,2011-08-03,27-Sep-11,27-Sep-11,27-Sep-11,HRDT,HIV test - Ancillary,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Diluent, 25 Tests, Bottle x 5 ml","HIV 1/2, Bioline 3.0 Diluent, 25 Tests",Bioline,1,448,403.2,0.9,0.9,"Standard Diagnostics, Korea",Yes,71,844.36,0.67,2011
2721,13700,FPQ-13395,SCMS-219220,ASN-25451,Mozambique,PMO - US,Direct Drop,EXW,Air,12/11/2013,2013-12-17,2-May-14,2-May-14,7-May-14,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Nevirapine/Zidovudine 150/200/300mg, tablets, 60 Tabs",Lamivudine/Nevirapine/Zidovudine,Generic,60,35136,284952.96,8.11,0.14,Hetero Unit III Hyderabad IN,Yes,4784,19286.53,292.93,2013
2722,13708,FPQ-13548,SCMS-224840,ASN-24721,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,1/22/2014,2014-01-28,4-Apr-14,4-Apr-14,28-Apr-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,32,1024.0,32.0,1.6,"Trinity Biotech, Plc",Yes,54,2734.02,1.05,2014
2723,13739,FPQ-11443,SCMS-180940,ASN-19819,Haiti,PMO - US,Direct Drop,EXW,Ocean,2/7/2013,2013-03-22,2-Sep-13,2-Sep-13,2-Sep-13,ARV,Pediatric,Aurobindo Pharma Limited,"Zidovudine 10mg/ml, oral solution w/syringe, Bottle, 240 ml",Zidovudine,Generic,240,1832,3847.2,2.1,0.01,"Aurobindo Unit III, India",Yes,3504,7117.39,4.76,2013
2724,13748,FPQ-3885,SCMS-48620,ASN-4720,Côte d'Ivoire,PMO - US,Direct Drop,EXW,Air,6/19/2009,2009-07-07,11-Sep-09,11-Sep-09,11-Sep-09,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak HIV, Kit, 20 Tests","HIV 1/2, Stat-Pak HIV, Kit",Stat-Pak,20,350,9450.0,27.0,1.35,Chembio Diagnostics Sys. Inc.,Yes,205,1437.4,18.52,2009
2725,13761,FPQ-9576,SCMS-145320,ASN-16055,Vietnam,PMO - US,Direct Drop,FCA,Air,4/11/2012,2012-06-15,3-Oct-12,3-Oct-12,3-Oct-12,ARV,Adult,ABBVIE LOGISTICS (FORMERLY ABBOTT LOGISTICS BV),"Ritonavir 100mg [Norvir], film coated tablets, 30 Tabs",Ritonavir,Norvir,30,174,4047.24,23.26,0.78,ABBVIE Ludwigshafen Germany,Yes,21,583.66,5.67,2012
2728,13817,FPQ-13939,SCMS-234720,ASN-26119,Zimbabwe,PMO - US,Direct Drop,EXW,Air,4/1/2014,2014-05-08,14-Jun-14,14-Jun-14,16-Jun-14,ARV,Adult,Aurobindo Pharma Limited,"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,32670,151915.5,4.65,0.16,"Aurobindo Unit VII, IN",Yes,3076,25730.13,156.17,2014
2729,13841,FPQ-4011,SCMS-50290,ASN-6267,Rwanda,PMO - US,Direct Drop,CIP,Air,7/16/2009,2009-08-31,16-Apr-10,16-Apr-10,16-Apr-10,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Tenofovir Disoproxil Fumarate 300/300mg, tablets, 30 Tabs",Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,62209,681188.55,10.95,0.36,Mylan (formerly Matrix) Nashik,Yes,5795,63600.4,1335.13,2009
2730,13842,FPQ-14255,SCMS-239810,ASN-27324,"Congo, DRC",PMO - US,Direct Drop,EXW,Air,5/15/2014,2014-05-19,30-Sep-14,30-Sep-14,21-Oct-14,ARV,Pediatric,Aurobindo Pharma Limited,"Nevirapine 50mg, dispersible tablets (tablets for oral suspension), 30 Tabs",Nevirapine,Generic,30,940,1175.0,1.25,0.04,"Aurobindo Unit III, India",Yes,132,2516.57,1.21,2014
2732,13862,FPQ-15186,SCMS-260800,ASN-30384,Burundi,PMO - US,Direct Drop,EXW,Air,10/17/2014,2014-11-12,18-Feb-15,18-Feb-15,18-Feb-15,HRDT,HIV test,"CHEMBIO DIAGNOSTIC SYSTEMS, INC.","HIV 1/2, Stat-Pak Dipstick Assay Kit, 30 Tests","HIV 1/2, Stat-Pak Dipstick Assay Kit",Stat-Pak,30,595,16422.0,27.6,0.92,Chembio Diagnostics Sys. Inc.,Yes,63,865.67,19.33,2014
2733,13874,FPQ-11443,SCMS-180960,ASN-20434,Haiti,PMO - US,Direct Drop,EXW,Air,2/7/2013,2013-03-22,14-Aug-13,14-Aug-13,14-Aug-13,ARV,Adult,MICRO LABS LIMITED,"Efavirenz 600mg, tablets, 30 Tabs",Efavirenz,Generic,30,14448,46667.04,3.23,0.11,"Micro labs, Verna, Goa, India",Yes,2284,13257.25,57.73,2013
2734,13886,FPQ-12290,SCMS-192080,ASN-22594,Uganda,PMO - US,Direct Drop,CIP,Air,5/17/2013,2013-07-03,20-Nov-13,20-Nov-13,21-Nov-13,ARV,Adult,ASPEN PHARMACARE,"Etravirine 100mg [Intelence], tablets, 120 Tabs",Etravirine,Intelence,120,108,3888.0,36.0,0.3,"Janssen-Cilag, Latina, IT",Yes,22,265.0,4.81,2013
2735,13897,FPQ-8446,SCMS-124900,ASN-13149,Kenya,PMO - US,Direct Drop,EXW,Air,10/5/2011,2011-10-26,17-Jan-12,17-Jan-12,17-Jan-12,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,8298,738522.0,89.0,0.89,"Alere Medical Co., Ltd.",Yes,1427,16090.59,1218.56,2011
2738,13903,FPQ-12588,SCMS-200851,ASN-24301,Tanzania,PMO - US,Direct Drop,EXW,Air,7/15/2013,2013-10-08,22-Mar-14,22-Mar-14,22-Mar-14,ARV,Pediatric,Aurobindo Pharma Limited,"Efavirenz 50mg, capsule, 30 Caps",Efavirenz,Generic,30,5925,9243.0,1.56,0.05,"Aurobindo Unit III, India",Yes,394,3245.39,11.43,2013
2739,13904,FPQ-13976,SCMS-236050,ASN-27943,Vietnam,PMO - US,Direct Drop,EXW,Air,4/8/2014,2014-04-30,30-Oct-14,30-Oct-14,4-Nov-14,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,60,9800,63602.0,6.49,0.11,Mylan (formerly Matrix) Nashik,Yes,2235,3708.72,65.38,2014
2740,13915,FPQ-12570,SCMS-200891,ASN-25755,Cameroon,PMO - US,Direct Drop,EXW,Air,7/10/2013,2013-08-06,15-May-14,15-May-14,15-May-14,HRDT,HIV test,Orasure Technologies Inc.,"HIV 1/2, OraQuick Rapid Antibody Kit, 100 Tests","HIV 1/2, OraQuick Rapid Antibody Kit",OraQuick,100,1000,350000.0,350.0,3.5,"Orasure Technologies, Inc",Yes,2090,51331.09,432.95,2013
2741,13926,FPQ-5303,SCMS-68750,ASN-8885,South Africa,PMO - US,Direct Drop,DDP,Air,3/18/2010,2010-03-19,13-Oct-10,25-Jan-11,25-Jan-11,ARV,Adult,CIPLA LIMITED,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,19992,156337.44,7.82,0.26,"Cipla, Goa, India",Yes,1378,3646.1,337.06,2010
2742,13959,FPQ-14291,SCMS-242720,ASN-28530,Zambia,PMO - US,Direct Drop,EXW,Air,5/21/2014,2014-06-04,1-Dec-14,1-Dec-14,10-Dec-14,ARV,Pediatric,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Lamivudine/Zidovudine 30/60mg, dispersible tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,60,10000,19900.0,1.99,0.03,"Mylan,  H-12 & H-13, India",Yes,849,4316.34,20.46,2014
2743,13968,FPQ-12623,SCMS-200920,ASN-21751,South Sudan,PMO - US,Direct Drop,EXW,Air,7/18/2013,2013-08-06,18-Oct-13,18-Oct-13,18-Oct-13,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,35,1120.0,32.0,1.6,"Trinity Biotech, Plc",Yes,176,4124.74,1.39,2013
2744,13978,FPQ-11418,SCMS-176300,ASN-19787,Vietnam,PMO - US,Direct Drop,EXW,Air,1/29/2013,2013-02-06,1-Jul-13,1-Jul-13,1-Jul-13,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,60,9095,62300.75,6.85,0.11,Hetero Unit III Hyderabad IN,Yes,1736,8163.83,77.07,2013
2745,13988,FPQ-12041,SCMS-189220,ASN-20209,Haiti,PMO - US,Direct Drop,EXW,Air,4/26/2013,2013-05-21,9-Jul-13,9-Jul-13,9-Jul-13,HRDT,HIV test,"SHANGHAI KEHUA BIOENGINEERING CO.,LTD.  (KHB)","HIV 1/2, SKB Colloidal Gold, Diagnostic Kit, Antibody, 50 Tests","HIV 1/2, Colloidal Gold, Diagnostic Kit, Antibody",Colloidal Gold,1,300,7350.0,24.5,24.5,"KHB Test Kit Facility, Shanghai China",Yes,182,2581.83,9.09,2013
2746,14016,FPQ-13976,SCMS-236070,ASN-28062,Vietnam,PMO - US,Direct Drop,EXW,Air,4/8/2014,2014-04-30,7-Nov-14,7-Nov-14,8-Nov-14,ARV,Adult,MICRO LABS LIMITED,"Nevirapine 200mg, tablets, 60 Tabs",Nevirapine,Generic,60,7600,15808.0,2.08,0.03,"Micro labs, Verna, Goa, India",Yes,1292,2800.95,16.25,2014
2747,14018,FPQ-14895,SCMS-261060,ASN-30093,Haiti,PMO - US,Direct Drop,EXW,Air,9/24/2014,2014-11-14,12-Feb-15,12-Feb-15,13-Feb-15,ARV,Adult,HETERO LABS LIMITED,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",Lamivudine/Zidovudine,Generic,60,50544,334095.84,6.61,0.11,"Hetero, Jadcherla, unit 5, IN",Yes,4669,34778.32,343.45,2014
2749,14043,FPQ-5019,SCMS-64580,ASN-6269,Vietnam,PMO - US,Direct Drop,EXW,Air,2/2/2010,2010-02-03,30-Mar-10,30-Mar-10,30-Mar-10,ARV,Adult,Aurobindo Pharma Limited,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",Tenofovir Disoproxil Fumarate,Generic,30,3528,27342.0,7.75,0.26,"Aurobindo Unit III, India",Yes,395,3538.57,58.95,2010
2750,14079,FPQ-12197,SCMS-189360,ASN-21229,Tanzania,PMO - US,Direct Drop,EXW,Air,4/30/2013,2013-05-29,17-Sep-13,17-Sep-13,17-Sep-13,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,2915,0.0,0.0,0.0,"Alere Medical Co., Ltd.",Yes,1208,20583.37,0.0,2013
2751,14097,FPQ-14594,SCMS-250110,ASN-28194,Burundi,PMO - US,Direct Drop,EXW,Air,7/17/2014,2014-08-06,6-Oct-14,6-Oct-14,6-Oct-14,HRDT,HIV test,"Orgenics, Ltd","HIV 1/2, Determine Complete HIV Kit, 100 Tests","HIV 1/2, Determine Complete HIV Kit",Determine,100,3484,278720.0,80.0,0.8,"Alere Medical Co., Ltd.",Yes,1415,33228.68,286.52,2014
2752,14178,FPQ-7909,SCMS-114990,ASN-12248,Tanzania,PMO - US,Direct Drop,EXW,Air,6/24/2011,2011-07-18,29-Sep-11,29-Oct-11,29-Oct-11,HRDT,HIV test,"Standard Diagnostics, Inc.","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests","HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included",Bioline,25,10000,200000.0,20.0,0.8,"Standard Diagnostics, Korea",Yes,3334,21952.35,330.0,2011
2753,14180,FPQ-14081,SCMS-238950,ASN-26391,Zambia,PMO - US,Direct Drop,EXW,Air,4/15/2014,2014-05-16,28-Jul-14,28-Jul-14,15-Aug-14,HRDT,HIV test,"Trinity Biotech, Plc","HIV 1/2, Uni-Gold HIV Kit, 20 Tests","HIV 1/2, Uni-Gold HIV Kit",Uni-Gold,20,9500,304000.0,32.0,1.6,"Trinity Biotech, Plc",Yes,2783,20621.1,312.51,2014
2754,14195,FPQ-7660,SCMS-109830,ASN-11115,Benin,PMO - US,Direct Drop,EXW,Air,5/16/2011,2011-05-27,12-Jul-11,12-Jul-11,12-Jul-11,ARV,Adult,MYLAN LABORATORIES LTD (FORMERLY MATRIX LABORATORIES),"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate,Generic,30,1244,17540.4,14.1,0.47,Mylan (formerly Matrix) Nashik,Yes,175,5864.56,28.94,2011
